"con_id","ind_id","name"
"33","157","Socioeconomic Status"
"33","160","Stay-At-Home Orders"
"16","69","Children Receiving Interventions or Services"
"16","68","Estimated Prevalence of Autism"
"1","42","Arsenic in Community Water Systems"
"1","82","Atrazine in Community Water Systems"
"1","83","DEHP in Community Water Systems"
"1","43","Disinfection Byproducts in Community Water Systems"
"1","44","Nitrates in Community Water Systems"
"1","84","PCE in Community Water Systems"
"1","147","Perchlorate in Drinking Water"
"1","139","PFAS in Community Water Systems"
"1","41","Public Water Use"
"1","86","Radium in Community Water Systems"
"1","85","TCE in Community Water Systems"
"1","87","Uranium in Community Water Systems"
"25","131","Drought Duration and Severity (Monthly)"
"25","132","Drought Duration and Severity (Weekly)"
"4","122","Coronary Heart Disease Prevalence - 500 Cities"
"4","101","Heart Attack Mortality"
"4","36","Hospitalizations for Heart Attack"
"4","100","Ischemic Heart Disease Mortality"
"24","89","Heat stress emergency department visits"
"24","88","Heat stress hospitalizations"
"24","104","Heat Vulnerability - Adaptive Capacity"
"24","105","Heat Vulnerability - Exposure"
"24","103","Heat Vulnerability - Sensitivity"
"24","67","Heat-Related Mortality"
"29","140","Population Thyroid Hormone Levels"
"19","98","Overweight and Obesity"
"19","128","Overweight and Obesity - 500 Cities"
"19","123","Physical Activity - 500 Cities"
"19","78","Smoking"
"19","127","Smoking - 500 Cities"
"20","96","Pesticide-Related Illness"
"20","95","Reported Pesticide Exposures"
"13","52","Demographics"
"13","109","Health Status"
"13","124","Health Status - 500 Cities"
"13","137","Life Expectancy"
"13","115","Social Vulnerability Index (ATSDR)"
"13","53","Socioeconomic Status"
"31","144","Radon Tests from Labs"
"31","141","Radon Tests from States"
"8","15","Infant Mortality"
"8","14","Low Birthweight"
"8","13","Prematurity"
"8","17","Sex Ratio"
"8","16","Total Fertility Rate"
"26","135","Sunlight"
"26","136","Ultraviolet (UV)"
"21","102","Acute Toxic Substance Releases"
