"mes_id","geo_id","cat_id","cat_name","cat_lbl","lvl_name","lvl_id","smooth"
56,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
56,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
57,1,4,"State x Gender","GenderId","Gender",4,0
57,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
57,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
57,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
58,1,4,"State x Gender","GenderId","Gender",4,0
58,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
58,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
58,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
59,1,4,"State x Gender","GenderId","Gender",4,0
59,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
59,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
59,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
60,1,4,"State x Gender","GenderId","Gender",4,0
60,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
60,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
60,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
61,1,4,"State x Gender","GenderId","Gender",4,0
61,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
61,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
61,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
62,1,4,"State x Gender","GenderId","Gender",4,0
62,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
62,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
62,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
63,1,4,"State x Gender","GenderId","Gender",4,0
63,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
63,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
63,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
64,1,4,"State x Gender","GenderId","Gender",4,0
64,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
64,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
64,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
65,1,4,"State x Gender","GenderId","Gender",4,0
65,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
65,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
65,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
66,1,4,"State x Gender","GenderId","Gender",4,0
66,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
66,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
66,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
67,1,4,"State x Gender","GenderId","Gender",4,0
67,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
67,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
67,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
68,1,4,"State x Gender","GenderId","Gender",4,0
68,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
68,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
68,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
69,1,4,"State x Gender","GenderId","Gender",4,0
69,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
69,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
69,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
70,1,4,"State x Gender","GenderId","Gender",4,0
70,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
70,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
70,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
71,1,4,"State x Gender","GenderId","Gender",4,0
71,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
71,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
71,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
72,1,4,"State x Gender","GenderId","Gender",4,0
72,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
72,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
72,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
73,1,4,"State x Gender","GenderId","Gender",4,0
73,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
73,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
73,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
74,1,4,"State x Gender","GenderId","Gender",4,0
74,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
74,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
74,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
75,1,4,"State x Gender","GenderId","Gender",4,0
75,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
75,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
75,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
76,1,4,"State x Gender","GenderId","Gender",4,0
76,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
76,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
76,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
77,1,4,"State x Gender","GenderId","Gender",4,0
77,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
77,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
77,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
78,1,4,"State x Gender","GenderId","Gender",4,0
78,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
78,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
78,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
79,1,4,"State x Gender","GenderId","Gender",4,0
79,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
79,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
79,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
80,1,4,"State x Gender","GenderId","Gender",4,0
80,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
80,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
80,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
81,1,4,"State x Gender","GenderId","Gender",4,0
81,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
81,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
81,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
82,1,4,"State x Gender","GenderId","Gender",4,0
82,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
82,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
82,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
93,1,45,"State x Blood Lead Level","BloodLeadLevelId","Blood Lead Level",6,0
94,1,45,"State x Blood Lead Level","BloodLeadLevelId","Blood Lead Level",6,0
99,1,3,"State x Age","AgeBandId","Age Group",3,0
99,1,4,"State x Gender","GenderId","Gender",4,0
99,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
99,1,37,"State x Age x Gender","GenderId","Gender",4,0
101,1,3,"State x Age","AgeBandId","Age Group",3,0
101,1,4,"State x Gender","GenderId","Gender",4,0
101,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
101,1,37,"State x Age x Gender","GenderId","Gender",4,0
101,2,9,"State x County x Age","AgeBandId","Age Group",3,1
101,2,10,"State x County x Gender","GenderId","Gender",4,1
101,2,52,"State x County x Age x Gender","AgeBandId","Age Group",3,1
101,2,52,"State x County x Age x Gender","GenderId","Gender",4,1
103,1,4,"State x Gender","GenderId","Gender",4,0
103,2,10,"State x County x Gender","GenderId","Gender",4,1
104,1,3,"State x Age","AgeBandId","Age Group",3,0
104,1,4,"State x Gender","GenderId","Gender",4,0
104,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
104,1,37,"State x Age x Gender","GenderId","Gender",4,0
106,1,3,"State x Age","AgeBandId","Age Group",3,0
106,1,4,"State x Gender","GenderId","Gender",4,0
106,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
106,1,37,"State x Age x Gender","GenderId","Gender",4,0
106,2,9,"State x County x Age","AgeBandId","Age Group",3,1
106,2,10,"State x County x Gender","GenderId","Gender",4,1
106,2,52,"State x County x Age x Gender","AgeBandId","Age Group",3,1
106,2,52,"State x County x Age x Gender","GenderId","Gender",4,1
108,1,4,"State x Gender","GenderId","Gender",4,0
108,2,10,"State x County x Gender","GenderId","Gender",4,1
117,1,44,"State x Cause","CauseId","Cause",5,0
118,1,44,"State x Cause","CauseId","Cause",5,0
119,1,44,"State x Cause","CauseId","Cause",5,0
120,1,44,"State x Cause","CauseId","Cause",5,0
121,1,44,"State x Cause","CauseId","Cause",5,0
122,1,44,"State x Cause","CauseId","Cause",5,0
221,1,4,"State x Gender","GenderId","Gender",4,0
221,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
221,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
221,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
221,2,10,"State x County x Gender","GenderId","Gender",4,1
221,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
222,1,4,"State x Gender","GenderId","Gender",4,0
222,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
222,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
222,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
222,2,10,"State x County x Gender","GenderId","Gender",4,1
222,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
223,1,4,"State x Gender","GenderId","Gender",4,0
223,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
223,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
223,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
223,2,10,"State x County x Gender","GenderId","Gender",4,1
223,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
224,1,4,"State x Gender","GenderId","Gender",4,0
224,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
224,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
224,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
224,2,10,"State x County x Gender","GenderId","Gender",4,1
224,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
225,1,4,"State x Gender","GenderId","Gender",4,0
225,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
225,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
225,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
225,2,10,"State x County x Gender","GenderId","Gender",4,1
225,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
226,1,4,"State x Gender","GenderId","Gender",4,0
226,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
226,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
226,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
226,2,10,"State x County x Gender","GenderId","Gender",4,1
226,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
229,1,4,"State x Gender","GenderId","Gender",4,0
229,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
229,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
229,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
229,2,10,"State x County x Gender","GenderId","Gender",4,0
229,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
230,1,4,"State x Gender","GenderId","Gender",4,0
230,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
230,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
230,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
230,2,10,"State x County x Gender","GenderId","Gender",4,0
230,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
231,1,4,"State x Gender","GenderId","Gender",4,0
231,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
231,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
231,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
231,2,10,"State x County x Gender","GenderId","Gender",4,0
231,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
232,1,4,"State x Gender","GenderId","Gender",4,0
232,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
232,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
232,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
232,2,10,"State x County x Gender","GenderId","Gender",4,0
232,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
233,1,4,"State x Gender","GenderId","Gender",4,0
233,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
233,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
233,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
233,2,10,"State x County x Gender","GenderId","Gender",4,0
233,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
234,1,4,"State x Gender","GenderId","Gender",4,0
234,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
234,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
234,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
234,2,10,"State x County x Gender","GenderId","Gender",4,0
234,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
237,1,3,"State x Age","AgeBandId","Age Group",3,0
237,1,4,"State x Gender","GenderId","Gender",4,0
237,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
237,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
237,1,37,"State x Age x Gender","GenderId","Gender",4,0
237,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
237,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
237,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
237,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
237,1,133,"State x Age x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
237,1,133,"State x Age x Gender x Race/Ethnicity","AgeBandId","Age Group",3,0
237,1,133,"State x Age x Gender x Race/Ethnicity","GenderId","Gender",4,0
237,2,9,"State x County x Age","AgeBandId","Age Group",3,0
237,2,10,"State x County x Gender","GenderId","Gender",4,0
237,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
238,1,3,"State x Age","AgeBandId","Age Group",3,0
238,1,4,"State x Gender","GenderId","Gender",4,0
238,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
238,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
238,1,37,"State x Age x Gender","GenderId","Gender",4,0
238,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
238,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
238,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
238,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
238,1,133,"State x Age x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
238,1,133,"State x Age x Gender x Race/Ethnicity","AgeBandId","Age Group",3,0
238,1,133,"State x Age x Gender x Race/Ethnicity","GenderId","Gender",4,0
238,2,9,"State x County x Age","AgeBandId","Age Group",3,1
238,2,10,"State x County x Gender","GenderId","Gender",4,1
238,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
239,1,3,"State x Age","AgeBandId","Age Group",3,0
239,1,4,"State x Gender","GenderId","Gender",4,0
239,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
239,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
239,1,37,"State x Age x Gender","GenderId","Gender",4,0
239,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
239,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
239,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
239,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
239,1,133,"State x Age x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
239,1,133,"State x Age x Gender x Race/Ethnicity","AgeBandId","Age Group",3,0
239,1,133,"State x Age x Gender x Race/Ethnicity","GenderId","Gender",4,0
239,2,9,"State x County x Age","AgeBandId","Age Group",3,0
239,2,10,"State x County x Gender","GenderId","Gender",4,0
239,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
240,1,3,"State x Age","AgeBandId","Age Group",3,0
240,1,4,"State x Gender","GenderId","Gender",4,0
240,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
240,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
240,1,37,"State x Age x Gender","GenderId","Gender",4,0
240,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
240,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
240,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
240,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
240,1,133,"State x Age x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
240,1,133,"State x Age x Gender x Race/Ethnicity","AgeBandId","Age Group",3,0
240,1,133,"State x Age x Gender x Race/Ethnicity","GenderId","Gender",4,0
240,2,9,"State x County x Age","AgeBandId","Age Group",3,1
240,2,10,"State x County x Gender","GenderId","Gender",4,1
240,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,1
241,1,3,"State x Age","AgeBandId","Age Group",3,0
241,1,4,"State x Gender","GenderId","Gender",4,0
241,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
241,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
241,1,37,"State x Age x Gender","GenderId","Gender",4,0
241,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
241,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
241,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
241,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
241,1,133,"State x Age x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
241,1,133,"State x Age x Gender x Race/Ethnicity","AgeBandId","Age Group",3,0
241,1,133,"State x Age x Gender x Race/Ethnicity","GenderId","Gender",4,0
241,2,9,"State x County x Age","AgeBandId","Age Group",3,0
241,2,10,"State x County x Gender","GenderId","Gender",4,0
241,2,13,"State x County x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
242,1,3,"State x Age","AgeBandId","Age Group",3,0
242,1,4,"State x Gender","GenderId","Gender",4,0
242,1,8,"State x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
242,1,37,"State x Age x Gender","AgeBandId","Age Group",3,0
242,1,37,"State x Age x Gender","GenderId","Gender",4,0
242,1,42,"State x Age x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
242,1,42,"State x Age x Race/Ethnicity","AgeBandId","Age Group",3,0
242,1,43,"State x Gender x Race/Ethnicity","RaceEthnicityId","Race/Ethnicity",2,0
242,1,43,"State x Gender x Race/Ethnicity","GenderId","Gender",4,0
